Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
4,2015-10-14,,Ottawa Senators,3,7,L,41,11,1,4.0,0,27,15,1.0,3.0,0.0,49,40,55.1,38,33,53.5,29,27,51.8,52.6,80.4
5,2015-10-16,,Toronto Maple Leafs,3,6,L,27,4,1,4.0,0,34,10,0.0,1.0,0.0,41,51,44.6,31,43,41.9,26,39,40.0,42.9,90.2
6,2015-10-17,1.0,Chicago Blackhawks,1,4,L,23,19,0,2.0,0,30,13,2.0,5.0,0.0,34,50,40.5,24,31,43.6,15,22,40.5,34.6,96.9
7,2015-10-20,,New York Islanders,0,4,L,37,11,0,6.0,0,29,21,0.0,1.0,0.0,57,37,60.6,36,31,53.7,21,17,55.3,45.0,81.8
8,2015-10-22,1.0,Minnesota Wild,2,3,L,29,4,1,2.0,0,23,4,1.0,2.0,0.0,48,42,53.3,37,28,56.9,30,34,46.9,59.6,93.5
9,2015-10-24,1.0,Colorado Avalanche,4,3,W,36,17,1,5.0,0,34,15,1.0,6.0,0.0,49,38,56.3,43,31,58.1,19,25,43.2,50.6,101.7
10,2015-10-27,1.0,New Jersey Devils,3,1,W,14,10,0,3.0,0,24,8,1.0,4.0,0.0,22,31,41.5,17,28,37.8,15,19,44.1,31.6,123.1
11,2015-10-30,1.0,Washington Capitals,1,2,L,30,4,0,3.0,0,28,6,0.0,2.0,0.0,38,44,46.3,32,34,48.5,21,23,47.7,41.4,95.8
12,2015-10-31,,Winnipeg Jets,2,3,L,21,11,0,5.0,0,27,15,1.0,3.0,0.0,35,42,45.5,24,30,44.4,22,28,44.0,37.8,103.1
13,2015-11-03,1.0,San Jose Sharks,5,2,W,24,11,1,2.0,0,43,9,0.0,4.0,0.0,36,64,36.0,22,49,31.0,17,38,30.9,48.6,116.2
14,2015-11-05,1.0,Los Angeles Kings,3,2,W,25,26,1,4.0,0,33,26,1.0,4.0,0.0,33,48,40.7,27,38,41.5,22,30,42.3,32.6,106.0
15,2015-11-06,1.0,Anaheim Ducks,2,4,L,36,10,0,2.0,0,34,8,1.0,3.0,0.0,40,47,46.0,35,38,47.9,17,29,37.0,55.1,96.2
16,2015-11-10,,Vancouver Canucks,3,5,L,45,8,2,3.0,1,30,6,0.0,3.0,0.0,58,39,59.8,41,29,58.6,29,25,53.7,56.0,80.8
17,2015-11-13,1.0,Pittsburgh Penguins,2,1,W,28,12,1,4.0,0,29,8,0.0,6.0,0.0,37,41,47.4,28,29,49.1,36,26,58.1,38.9,100.4
